,forecast,production
2018-09-08 00:00:00,8355.1846091,8355.1846091
2018-09-08 00:15:00,8355.1846091,8355.1846091
2018-09-08 00:30:00,8355.1846091,8355.1846091
2018-09-08 00:45:00,8355.1846091,8355.1846091
2018-09-08 01:00:00,5907.46151057,5907.46151057
2018-09-08 01:15:00,5907.46151057,5907.46151057
2018-09-08 01:30:00,5907.46151057,5907.46151057
2018-09-08 01:45:00,5907.46151057,5907.46151057
2018-09-08 02:00:00,5955.07221231,5955.07221231
2018-09-08 02:15:00,5955.07221231,5955.07221231
2018-09-08 02:30:00,5955.07221231,5955.07221231
2018-09-08 02:45:00,5955.07221231,5955.07221231
2018-09-08 03:00:00,6448.19010237,6448.19010237
2018-09-08 03:15:00,6448.19010237,6448.19010237
2018-09-08 03:30:00,6448.19010237,6448.19010237
2018-09-08 03:45:00,6448.19010237,6448.19010237
2018-09-08 04:00:00,7114.11476888,7114.11476888
2018-09-08 04:15:00,7114.11476888,7114.11476888
2018-09-08 04:30:00,7114.11476888,7114.11476888
2018-09-08 04:45:00,7114.11476888,7114.11476888
2018-09-08 05:00:00,7392.52385854,7392.52385854
2018-09-08 05:15:00,7392.52385854,7392.52385854
2018-09-08 05:30:00,7392.52385854,7392.52385854
2018-09-08 05:45:00,7392.52385854,7392.52385854
2018-09-08 06:00:00,7977.45768724,7977.45768724
2018-09-08 06:15:00,7977.45768724,7977.45768724
2018-09-08 06:30:00,7977.45768724,7977.45768724
2018-09-08 06:45:00,7977.45768724,7977.45768724
2018-09-08 07:00:00,4421.13239548,4421.13239548
2018-09-08 07:15:00,4421.13239548,4421.13239548
2018-09-08 07:30:00,4421.13239548,4421.13239548
2018-09-08 07:45:00,4421.13239548,4421.13239548
2018-09-08 08:00:00,5156.13699862,5156.13699862
2018-09-08 08:15:00,5156.13699862,5156.13699862
2018-09-08 08:30:00,5156.13699862,5156.13699862
2018-09-08 08:45:00,5156.13699862,5156.13699862
2018-09-08 09:00:00,4994.38564427,4994.38564427
2018-09-08 09:15:00,4994.38564427,4994.38564427
2018-09-08 09:30:00,4994.38564427,4994.38564427
2018-09-08 09:45:00,4994.38564427,4994.38564427
2018-09-08 10:00:00,1310.97235289,1310.97235289
2018-09-08 10:15:00,1310.97235289,1310.97235289
2018-09-08 10:30:00,1310.97235289,1310.97235289
2018-09-08 10:45:00,1310.97235289,1310.97235289
2018-09-08 11:00:00,0.49354562961,0.49354562961
2018-09-08 11:15:00,0.49354562961,0.49354562961
2018-09-08 11:30:00,0.49354562961,0.49354562961
2018-09-08 11:45:00,0.49354562961,0.49354562961
2018-09-08 12:00:00,0.0,0.0
2018-09-08 12:15:00,0.0,0.0
2018-09-08 12:30:00,0.0,0.0
2018-09-08 12:45:00,0.0,0.0
2018-09-08 13:00:00,0.0,0.0
2018-09-08 13:15:00,0.0,0.0
2018-09-08 13:30:00,0.0,0.0
2018-09-08 13:45:00,0.0,0.0
2018-09-08 14:00:00,1.33257319995,1.33257319995
2018-09-08 14:15:00,1.33257319995,1.33257319995
2018-09-08 14:30:00,1.33257319995,1.33257319995
2018-09-08 14:45:00,1.33257319995,1.33257319995
2018-09-08 15:00:00,703.187361547,703.187361547
2018-09-08 15:15:00,703.187361547,703.187361547
2018-09-08 15:30:00,703.187361547,703.187361547
2018-09-08 15:45:00,703.187361547,703.187361547
2018-09-08 16:00:00,1616.92128868,1616.92128868
2018-09-08 16:15:00,1616.92128868,1616.92128868
2018-09-08 16:30:00,1616.92128868,1616.92128868
2018-09-08 16:45:00,1616.92128868,1616.92128868
2018-09-08 17:00:00,4028.27007431,4028.27007431
2018-09-08 17:15:00,4028.27007431,4028.27007431
2018-09-08 17:30:00,4028.27007431,4028.27007431
2018-09-08 17:45:00,4028.27007431,4028.27007431
2018-09-08 18:00:00,2161.4995364,2161.4995364
2018-09-08 18:15:00,2161.4995364,2161.4995364
2018-09-08 18:30:00,2161.4995364,2161.4995364
2018-09-08 18:45:00,2161.4995364,2161.4995364
2018-09-08 19:00:00,403.687421979,403.687421979
2018-09-08 19:15:00,403.687421979,403.687421979
2018-09-08 19:30:00,403.687421979,403.687421979
2018-09-08 19:45:00,403.687421979,403.687421979
2018-09-08 20:00:00,75.2821600364,75.2821600364
2018-09-08 20:15:00,75.2821600364,75.2821600364
2018-09-08 20:30:00,75.2821600364,75.2821600364
2018-09-08 20:45:00,75.2821600364,75.2821600364
2018-09-08 21:00:00,0.0,0.0
2018-09-08 21:15:00,0.0,0.0
2018-09-08 21:30:00,0.0,0.0
2018-09-08 21:45:00,0.0,0.0
2018-09-08 22:00:00,127.104451145,127.104451145
2018-09-08 22:15:00,127.104451145,127.104451145
2018-09-08 22:30:00,127.104451145,127.104451145
2018-09-08 22:45:00,127.104451145,127.104451145
2018-09-08 23:00:00,86.9627399372,86.9627399372
2018-09-08 23:15:00,86.9627399372,86.9627399372
2018-09-08 23:30:00,86.9627399372,86.9627399372
2018-09-08 23:45:00,86.9627399372,86.9627399372
